,query,target_query
0,How many directed_by relationships are there between movie and director entities?,MATCH (: Movie)-[:DIRECTED_BY]->(:Director) RETURN COUNT(*) AS count
1,Can you list the director entities related to each movie entity through directed_by relationships?,"MATCH (a:Movie)-[:DIRECTED_BY]->(b:Director) WITH a, COLLECT(b) AS related_nodes RETURN a, related_nodes"
2,How many written_by relationships are there between movie and writer entities?,MATCH (: Movie)-[:WRITTEN_BY]->(:Writer) RETURN COUNT(*) AS count
3,Can you list the writer entities related to each movie entity through written_by relationships?,"MATCH (a:Movie)-[:WRITTEN_BY]->(b:Writer) WITH a, COLLECT(b) AS related_nodes RETURN a, related_nodes"
4,How many starred_actors relationships are there between movie and actor entities?,MATCH (: Movie)-[:STARRED_ACTORS]->(:Actor) RETURN COUNT(*) AS count
5,Can you list the actor entities related to each movie entity through starred_actors relationships?,"MATCH (a:Movie)-[:STARRED_ACTORS]->(b:Actor) WITH a, COLLECT(b) AS related_nodes RETURN a, related_nodes"
6,How many has_tags relationships are there between movie and tag entities?,MATCH (: Movie)-[:HAS_TAGS]->(:Tag) RETURN COUNT(*) AS count
7,Can you list the tag entities related to each movie entity through has_tags relationships?,"MATCH (a:Movie)-[:HAS_TAGS]->(b:Tag) WITH a, COLLECT(b) AS related_nodes RETURN a, related_nodes"
8,How many has_genre relationships are there between movie and genre entities?,MATCH (: Movie)-[:HAS_GENRE]->(:Genre) RETURN COUNT(*) AS count
9,Can you list the genre entities related to each movie entity through has_genre relationships?,"MATCH (a:Movie)-[:HAS_GENRE]->(b:Genre) WITH a, COLLECT(b) AS related_nodes RETURN a, related_nodes"
