,query,target_query,generated_query
0,who are the writers that actors in their films also appear in the film [The Creature Wasn't Nice],"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie {name: 'The Creature Wasn't Nice'})-[:WRITTEN_BY]->(w:Writer)
RETURN DISTINCT w.name","{'Krzysztof Zanussi', 'Don Mancini', 'Jason Friedberg', 'Craig Mazin', 'Stephen King', 'Mary Chase', 'Bob Logan', 'Aaron Seltzer', 'Cid Ricketts Sumner', 'Joseph Dougherty', 'Bruce Kimmel', 'Pat Proft', 'Cyril Hume', 'Bob Gale', 'Robert Zemeckis'}"
1,when did the films starred by [Falling Down] actors release,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Falling Down'})-[:STARRED_ACTORS]<-(n:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN n.name AS Movie, y.name AS Year","{'1926', '1988', '2002', '1977', '1983', '1985', '2009', '1997', '1994', '1993', '2003', '2001', '1978', '1971', '1972', '2012', '1956', '1975', '1973', '1992', '1989', '1990', '2006', '1998', '2014', '1969', '1996', '1981', '1979', '2013', '2007', '1976', '1995', '1984', '2000', '2011', '2008', '1991', '1987'}"
2,What genres are written by [Antonio das Mortes] writers,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:""Antonio das Mortes""})-[:WRITTEN_BY]<-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name",{'Drama'}
3,who are the directors who the actors in their movies also appear in the film [Rollover],"```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(rollover:Movie {name: ""Rollover""})
MATCH (m)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name
```","{'Robert Luketic', 'Michael Anderson', 'Charles Martin Smith', 'Norman Jewison', 'Peter Tewksbury', 'Peter Skillman Odiorne', 'Elliot Silverstein', 'Robby Henson', 'Stéphane Robelin', 'Luis Puenzo', 'Alan Rudolph', 'Garry Marshall', 'Louis Malle', 'William Tannen', 'James Ivory', 'Hal Ashby', 'Mark Rydell', 'Edward Dmytryk', 'Sam Peckinpah', 'George Cukor', 'Joshua Logan', 'Dean Parisot', 'Arthur Penn', 'Federico Fellini', 'Gene Saks', 'Alan J. Pakula', 'Michael Cimino', 'James Bridges', 'Lewis John Carlino', 'Sydney Pollack', 'Otto Preminger', 'Paul Mazursky', 'Roger Vadim', 'Ted Kotcheff', 'Michael Ritchie', 'Fred Zinnemann', 'Erick Zonca', 'William A. Wellman', 'Robert Ellis Miller', 'Sidney Lumet'}"
4,what were the release dates of films written by the screenwriter of [Prince Valiant],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Prince Valiant""})-[:WRITTEN_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN m2.name as Movie, y.name as Year","{'2005', '2001'}"
5,who wrote the films played by the actors in [Kiss of the Dragon],"MATCH (m:Movie {name: ""Kiss of the Dragon""})-[:STARRED_ACTORS]->(a:Actor)-[:STARRED_ACTORS]<-[:WRITTEN_BY]-(w:Writer)
RETURN w.name","{'Cameron Crowe', 'Luc Besson', 'Chris Roberts', 'John Fusco', 'Alan Parker', 'David E. Kelley', 'Clare Peploe', 'James Hadley Chase', 'Ken Kaufman', 'Robert Mundi', 'William Brookfield', 'James Wong', 'Richard Wenk', 'Rafael Yglesias', 'Kaja Blackley', 'Elmore Leonard', 'David Agosto', 'Gordon Chan', 'Quentin Tarantino', 'T. Coraghessan Boyle', 'Paul Thomas Anderson', 'Anne Amanda Opotowsky', 'Dwight Yoakam', 'John Lutz', 'Sylvester Stallone'}"
6,Who are the actors in the films led by the director of [The Terror],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)-[:DIRECTED_BY]<-(m2:Movie)<-[:STARRED_ACTORS]-(a:Actor)
WHERE m.name = 'The Terror'
RETURN a.name","{'Dick Miller', 'David Carradine', 'Mel Welles', 'Peter Fonda', 'Boris Karloff', 'Susan Cabot', 'Myrna Fahey', 'Shelley Winters', 'Jason Robards', 'Allison Hayes', 'Nancy Sinatra', 'Bela Lugosi', 'Robert Towne', 'Charles Bronson', 'Lee Van Cleef', 'Bruce Dern', 'Richard Garland', 'Jonathan Haze', 'Brendan Gleeson', 'William Shatner', 'Peter Graves', 'Glenn Ford', 'Vincent Price', 'Diane Ladd', 'Don Stroud', 'Beverly Garland', 'Peter Lorre', 'Elizabeth Shepherd', 'John Cusack', 'George Segal', 'Antony Carbone', 'Lon Chaney Jr.', 'Mark Damon', 'John Phillip Law', 'Pamela Duncan', 'Claudia Jennings', 'Jackie Joseph', 'Alice Eve', 'Val Dufour', 'Inger Stevens', 'Harry Ellerbe', 'Ralph Meeker', 'Luke Evans', 'Debra Paget', 'Sally Fraser'}"
7,what types are directed by the director of [The Fiances],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director) 
WHERE m.name = 'The Fiances'
MATCH (m2:Movie)-[:DIRECTED_BY]->(d)
RETURN DISTINCT LABELS(m2)","{'Comedy', 'Drama'}"
8,who are the actors in the films run by the director of [Skippy],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Skippy""})-[:DIRECTED_BY]<-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name","{'Jerry Lewis', 'Robert Taylor', 'Jane Powell', 'Rosalind Russell', 'Mario Lanza', 'Felicia Farr', 'Gary Cooper', 'Juliet Prowse', 'Bing Crosby', 'Robert Ivers', 'Fred Astaire', 'Cary Grant', 'Andy Griffith', 'J. Carrol Naish', ""Erin O'Brien"", 'Walter Matthau', 'Mickey Rooney', 'Vincent Price', 'Frankie Avalon', 'Susan Hart', 'Myrna Loy', 'Gracie Allen', 'George Murphy', 'Elvis Presley', 'Vic Damone', 'Judy Garland', 'Carole Lombard', 'Dwayne Hickman', 'George Burns', 'Kathryn Grayson', 'Wendell Corey', 'Danielle Darrieux', 'George Raft', 'Charles Laughton', 'Eleanor Powell', 'Spencer Tracy', 'Henry Hull', 'David Niven'}"
9,who are the actors in the films run by the director of [Pretty Maids All in a Row],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Pretty Maids All in a Row""})-[:DIRECTED_BY]<-(m2:Movie)<-[:STARRED_ACTORS]-(a:Actor)
RETURN a.name","{'Rebecca De Mornay', 'Jane Fonda', 'Terence Stamp', 'Vincent Spano', 'Brigitte Bardot', 'Alain Delon'}"
10,who are the actors in the films led by the director of [Pushing Tin],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:""Pushing Tin""})-[:DIRECTED_BY]<-(m2:Movie)<-[:STARRED_ACTORS]-(a:Actor)
RETURN a.name","{'Maggie Gyllenhaal', 'Kirsten Dunst', 'Daniel Radcliffe', 'Javier Bardem', 'Rupert Everett', 'Bruno Kirby', 'Charlton Heston', 'Stephanie Zimbalist', 'Valerie Hobson', 'Al Pacino', 'Giovanna Mezzogiorno', 'Hugh Grant', 'Julia Stiles', 'Ralph Fiennes', 'Gwyneth Paltrow', 'Miranda Richardson', 'Chris Cooper', 'Julia Roberts', 'Gregory Peck', 'John Mills', 'Johnny Depp', 'Ethan Hawke', 'Imelda Staunton', 'Jamie Lee Curtis', 'Benjamin Bratt', 'Dominic West', 'Susannah York', 'Jean Simmons', 'Rebecca Hall', 'Michael Madsen'}"
11,what were the release dates of films written by the screenwriter of [Bad Day at Black Rock],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:""Bad Day at Black Rock""})-[:WRITTEN_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name","{'1978', '1950'}"
12,who are the actors in the films run by the director of [Final Destination 2],"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Final Destination 2""})-[:DIRECTED_BY]<-(m2:Movie)<-[:STARRED_ACTORS]-(a:Actor)
RETURN a.name","{'Natasha Richardson', 'Samuel L. Jackson', 'Hugh Bonneville', 'Sarah Roemer', 'Ian McKellen', 'Kim Basinger'}"
13,when the films were written by [Something Wicked This Way Comes] writers ,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name: ""Something Wicked This Way Comes""})-[:WRITTEN_BY]<-(m2:Movie) RETURN m2.name","{'1998', '1966', '1956', '1969', '1993', '2005', '1953'}"
14,who are the actors in the films written by the writer of [Pinocchio],"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: ""Pinocchio""})-[:WRITTEN_BY]<-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name","{'Roberto Benigni', 'Nicoletta Braschi', 'Johnny Arthur', 'Winston Hibler', 'Udo Kier', 'Martin Landau', 'Lon Chaney', 'Jonathan Taylor Thomas', 'Emily Browning', 'Tom Waits', 'Paolo Bonacelli'}"
15,when the films were released by [The Normal Heart] actors released,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""The Normal Heart""})-[:STARRED_ACTORS]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN m2.name, y.name","{'2013', '1998', '2002', '2014', '2012', '2000', '2010', '2004', '2011', '2008', '2003', '2005', '2001', '2007'}"
16,which genres are directed by director [Julius Caesar],"```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Julius Caesar""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name
```","{'Thriller', 'Crime', 'Musical', 'Comedy', 'Drama', 'War', 'Mystery'}"
17,which were the release dates of the films led by [Octopussy] &apos;s director,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Octopussy""})-[:DIRECTED_BY]<-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name as Release_Dates","{'1985', '1981', '2001', '1989'}"
18,who directs films that share actors with the film [Ronin],"```
MATCH (m:Movie {name: ""Ronin""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name
```","{'Luc Besson', 'Paul Morrissey', 'Kjell Grede', 'Michael Radford', 'Hans Petter Moland', 'Michael Cimino', 'Rodrigo Cortés', 'Jules Dassin', 'Martin Scorsese', 'Ethan Maniquis', 'Irwin Winkler', 'Bob Rafelson', 'Cédric Kahn', 'Harald Zwart', 'Giuseppe Tornatore', 'Ettore Scola', 'Saul Metzstein', 'Alan Parker', 'Paul Weitz', 'Joel Schumacher', 'Sam Miller', 'Sergio Leone', 'Elia Kazan', 'Daniel Sackheim', 'Steven Soderbergh', 'Neil Jordan', 'John D. Hancock', 'Neil Burger', 'Brian De Palma', 'John Curran', 'Tony Scott', 'Michael Mann', 'Frank Oz', 'Zafar Hai', 'Ron Howard', 'Martin Brest', 'David Grovic', 'Barry Levinson', 'Norman Jewison', 'Johnnie To', 'Nimród Antal', 'Peter Segal', 'Roland Emmerich', 'John McNaughton', 'Gareth Edwards', 'Jerry Zaks', 'Andrei Tarkovsky', 'Roland Joffé', 'Gary McKendry', 'Justin Zackham', 'István Szabó', 'Åke Sandgren', 'Jon Turteltaub', 'Robert De Niro', 'Robert Rodriguez', 'Lisa Cholodenko', 'Gus Van Sant', 'Gérard Krawczyk', 'Hans Alfredson', 'David O. Russell', 'Sam Fell', 'Peter Weir', 'Jonathan Teplitzky', 'Michael Curtiz', 'Harold Ramis', 'James Mangold', 'Bernardo Bertolucci', 'J. Lee Thompson', 'Tom Dey', 'Mark Steven Johnson', 'Chris Nahon', 'Jay Roach', 'Penny Marshall', 'David Bowers', 'John Polson', 'Danièle Thompson', 'Kirk Jones', 'Ulu Grosbard', 'Terry Gilliam', 'Marleen Gorris', 'Blake Edwards', 'Jon Avnet', 'Phyllida Lloyd', 'John McTiernan', 'Kenneth Branagh'}"
19,what types are directed by the director of [Our Modern Maidens],"MATCH (m:Movie {name: ""Our Modern Maidens""})-[:DIRECTED_BY]->(d:Director)
MATCH (m2:Movie)-[:DIRECTED_BY]->(d)
RETURN DISTINCT labels(m2)","{'Biography', 'Crime', 'Adventure', 'Comedy', 'Drama', 'Music', 'Mystery'}"
20,the films written by the writer of [The Barkleys of Broadway] starred who,"MATCH (m:Movie {name: ""The Barkleys of Broadway""})-[:WRITTEN_BY]->(w:Writer)-[:WRITTEN_BY]<-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name","{'Peter Lawford', 'June Allyson', 'Frank Sinatra', 'Cyd Charisse', 'Joan McCracken', 'Fred Astaire', 'Gene Kelly', 'Dolores Gray', 'Ann Miller', 'Dan Dailey', 'Betty Garrett'}"
