,query,target_query,generated_query
0,the films that share the directors with the film [Catch Me If You Can] were in which languages,German|Polish|Mende|Japanese,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
WHERE m.name = ""Catch Me If You Can""
RETURN DISTINCT l.name"
1,the films that share actors with the film [Creepshow] were in which languages,Polish|English,"MATCH (m:Movie {name: 'Creepshow'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
2,what was the years of release of films that share writers with the film [Grown Ups 2],1995|1996|1999|1998|1989|2002|2000|2008|2011|2010,"MATCH (m:Movie {name: 'Grown Ups 2'})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
3,The films that share the film directors with the film [The Dance of Reality] were in what genres,Drama|Western,"MATCH (m:Movie {name: ""The Dance of Reality""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
4,What genres make films that share directors with [Scarlet Street] fall under,Crime|Drama|Fantasy|Animation|Western|War|Thriller,"MATCH (m:Movie {name: 'Scarlet Street'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN distinct g.name"
5,films that share actors with the film [Waxworks] were in which languages,Swedish|German|French|English,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
WHERE m.name = 'Waxworks'
RETURN DISTINCT l.name"
6,the films that share the actors with the [Buchanan Rides Alone] film are directed by whom,Irving Pichel|Allan Dwan|Walter Lang|George B. Seitz|Robert Day|Joseph H. Lewis|George Waggner|Irving Cummings|Michael Curtiz|Roy Huggins|Budd Boetticher|Mark Sandrich|H. Bruce Humberstone|Rouben Mamoulian|Henry King|Nathan Juran|Charles Vidor|Michael Mann|William A. Seiter|Richard L. Bare|Sam Peckinpah|Maurice Tourneur|Ray Enright|Lewis Seiler|Garson Kanin|Edwin L. Marin|Fritz Lang|Clarence Brown|Rowland V. Lee,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
WHERE m.name = ""Buchanan Rides Alone""
RETURN DISTINCT d.name"
7,What are the genres of the films which the writers have also written [Ex-Lady],Drama|Fantasy|Comedy|Musical|War,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(ex:Movie {name: 'Ex-Lady'}),
      (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
8,Which genres make the films that share directors with [Squirm] fall under the stroke,Horror|Comedy,"MATCH (m:Movie {name:'Squirm'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
9,films that share writers with the film [The Unsinkable Molly Brown] were in which genres,Drama|Fantasy|Music|Adventure|Action|Comedy|Musical|Biography,"MATCH (m:Movie {name: ""The Unsinkable Molly Brown""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
10,who are the actors in the films run by the director of [The Mirror Has Two Faces],Barbra Streisand|Nick Nolte,"MATCH (m:Movie {name: ""The Mirror Has Two Faces""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
11,What were the dates of the films that were written by the writer of [Mary and Martha],1994|1997|1999|1989|2003|2005|2014|1970|2013,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer) WHERE m.name = ""Mary and Martha""
MATCH (m2:Movie)-[:WRITTEN_BY]->(w)
MATCH (m2)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
12,which genres make films that share actors with [22 Jump Street] fall below,Sport|Crime|Drama|Fantasy|Animation|Adventure|Action|Comedy|War|Thriller,"MATCH (m:Movie {name: ""22 Jump Street""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
13,films that share the films with the [Billy Elliot] film were in which languages ,German,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language) WHERE m.name = ""Billy Elliot"" RETURN DISTINCT l.name"
14,that has written films that share actors with the film [Jarhead],Jonathan Raymond|Roberto Orci|Michael Mann|Michael Green|Greg Berlanti|Michael Goldenberg|David Auburn|Will Gluck|Susannah Grant|Kurt Wimmer|James Vanderbilt|Michael Chabon|Robert Graysmith|Dan Gilroy|Anthony Yerkovich|Rebecca Miller|Billy Ray|Marc Guggenheim|Thomas Meehan|Steve Lopez|Annie Proulx|J. Stanford Parker|Kimberly Peirce|Wayne Wang|Anders Thomas Jensen|José Saramago|Quentin Tarantino|Stuart Beattie|Carol Sobieski|Rawson Marshall Thurber|Taylor Hackford|David Ayer|Tom Eyen|Larry McMurtry|Takashi Bufford|Kelly Reichardt|Andy Bienen|Harold Gray|Alex Kurtzman|Roland Emmerich|Susanne Bier|Bill Condon|Andy Bellin|Diana Ossana|Matthew Michael Carnahan|Ben Ripley|Javier Gullón|Richard Kelly|Jocelyn Moorhouse,"MATCH (m:Movie {name: ""Jarhead""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)
WITH DISTINCT m2
MATCH (m2)-[:WRITTEN_BY]->(w:Writer)
RETURN w.name"
15,who are the directors who the actors in their films also appear in the film [Candleshoe],Charles Walters|Robert Zemeckis|Mark Levin|Robert Schwentke|Guy Green|Nicolas Gessner|Edgar Selwyn|Richard Donner|David Fincher|Delphine Gleize|Edmund Goulding|J. Lee Thompson|Alan Parker|Neill Blomkamp|Otto Preminger|Norman Taurog|Roman Polanski|Jodie Foster|Nicholas Ray|Neil Jordan|Adrian Lyne|Jonathan Kaplan|Martin Campbell|Jonathan Demme|Tony Richardson|Spike Lee|Henry Hathaway|Dennis Hopper|Don Bluth|Charles Vidor|Delbert Mann|Andy Tennant|Gregory La Cava|Jon Amiel|Frank Borzage|Irving Reis|Tony Bill|Michael Apted|H. Bruce Humberstone|Gary Goldman|Val Guest|Tay Garnett|Gary Nelson|Jennifer Flackett|Howard Hawks|Garson Kanin|Anatole Litvak|Blake Edwards|Ralph Levy|Henry Koster|Clarence Brown|Carol Reed,"MATCH (m:Movie {name: 'Candleshoe'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name"
16,What were the years of release of films that share directors with the film [The Package],1990|1993|1985|1995|1996|1998|1947|1988|2002|1992|2006,"MATCH (m:Movie {name: 'The Package'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
17,the films that share actors with the film [City of Hope] were in what genres,Mystery|Crime|Drama|Action|Comedy|Musical|Thriller,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
WHERE m.name = 'City of Hope'
RETURN DISTINCT g.name"
18,who are the directors that the actors in their films appear in the film [Belle Starr],John Ford|Irving Pichel|Sam Peckinpah|Nunnally Johnson|Edwin L. Marin|Robert Day|George B. Seitz|Walter Lang|Joseph H. Lewis|Edmund Goulding|Jules Dassin|Peter Hyams|George Waggner|Mitchell Leisen|Michael Curtiz|Bob Rafelson|Joseph Pevney|Herbert J. Leder|Edward Dmytryk|Otto Preminger|Budd Boetticher|Michael Gordon|Mark Robson|Irwin Winkler|Mark Sandrich|Buck Henry|H. Bruce Humberstone|William A. Wellman|Warren Beatty|Ken Annakin|Rouben Mamoulian|Archie Mayo|Henry Hathaway|Henry King|Josef von Sternberg|Charles Vidor|Ernst Lubitsch|Michael Mann|William A. Seiter|Roy Huggins|Lewis Milestone|Maurice Tourneur|Ray Enright|Lewis Seiler|Joseph L. Mankiewicz|Garson Kanin|Allan Dwan|John M. Stahl|Fritz Lang|William Wyler|John Byrum|Clarence Brown|Richard L. Bare|Hall Bartlett|Rowland V. Lee,"MATCH (m:Movie {name: ""Belle Starr""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN DISTINCT d.name"
19,what genres do the films that share directors with [Beyond Outrage] fall under,Action|Drama|Horror|Comedy|Documentary,"MATCH (m:Movie {name: ""Beyond Outrage""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(otherMovies:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
20,what was the years of release of films that share writers with the film [Dream House],1989,"MATCH (m:Movie {name: ""Dream House""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name"
21,who are the writers that the actors in their films also appear in the movie [Down to the Bone],Mark Poirier|Adam Rodgers|Greg Pritikin|George Ratliff|David Dobkin|Nae Caranfil|Ben Ripley|Glenn German,"MATCH (m:Movie {name: ""Down to the Bone""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:WRITTEN_BY]->(w:Writer)
RETURN DISTINCT w.name"
22,The films that share writers with the [Donnie Brasco] film were released during which years,1994,"MATCH (m:Movie {name: ""Donnie Brasco""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(otherMovies:Movie)-[:RELEASE_YEAR]->(y:Year)
RETURN y.name AS Release_Year"
23,the films written by the screenwriter of [Last Night] were directed by who,John Maybury|François Girard|Fernando Meirelles,"MATCH (m:Movie {name: 'Last Night'})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
24,who are the actors in the films written by the screenwriter of [The Steel Helmet],Jean Peters|Jeff Chandler|John Derek|Dolores Dorn|Brian Keith|Thelma Ritter|Michael Dante|Reed Hadley|Glenn Corbett|Mary Welch|Beatrice Kay|Al Lettieri|Rod Taylor|Broderick Crawford|Richard Widmark|Gene Evans|Barbara Stanwyck|Kristy McNichol|Lee Marvin|Cliff Robertson|John Ireland|Vincent Price|Richard Harris|Mark Hamill|Constance Towers|Rod Steiger|Barry Sullivan|Ralph Meeker|Donna Reed|James Shigeta|Anthony Eisley|Victoria Shaw,"MATCH (m:Movie {name: ""The Steel Helmet""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
25,the movies written by the screenwriter of [Sinbad and the Eye of the Tiger] starred who,John Phillip Law,"MATCH (m:Movie {name: ""Sinbad and the Eye of the Tiger""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(m2:Movie)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
26,who appeared in the films whose writers also wrote [A Secret],Ludivine Sagnier|Nicole Garcia|Bernard Giraudeau,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)
WHERE m.name = 'A Secret'
WITH w
MATCH (m2:Movie)-[:WRITTEN_BY]->(w)
MATCH (m2)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
27,the films that share the directors with the [Terminator Salvation] film were in which languages,French,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
WHERE m.name = ""Terminator Salvation""
RETURN DISTINCT l.name"
28,who starred in the films whose screenwriters also wrote [The Judge],Clint Howard,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(judge:Movie {name: ""The Judge""})
MATCH (m)-[:STARRED_ACTORS]->(a:Actor)
RETURN a.name"
29,Which languages are films that share actors with [The Vow] in,German|Spanish|English,"MATCH (m:Movie {name: 'The Vow'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
30,the films that share the actors with the [Strapped] film are directed by whom,Sticky Fingaz|Craig R. Baxley|Darin Scott|Doug McHenry,"MATCH (m:Movie {name: 'Strapped'})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(mo:Movie)
MATCH (mo)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
31,what genres do the movies that share screenwriters with [We Bought a Zoo] fall under,Drama|Romance|Comedy|Documentary|History,"MATCH (m:Movie {name: ""We Bought a Zoo""})-[:WRITTEN_BY]->(w:Writer)<-[:WRITTEN_BY]-(otherMovies:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN DISTINCT g.name"
32,what were the years of release of films that share directors with the film [Bronson],1996|1999|2003|2009|2011|2013|2012,"MATCH (m:Movie {name: ""Bronson""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year) RETURN y.name"
33,Which languages are the films which share directors with [Fulltime Killer] in,Cantonese|Japanese|French|English,"MATCH (m:Movie {name: ""Fulltime Killer""})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
34,which genres are the films played by [Tuff Turf] actors,Romance|Horror|Drama|Fantasy|Adventure|Comedy,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:HAS_GENRE]->(g:Genre) 
WHERE m.name = ""Tuff Turf"" 
RETURN DISTINCT g.name"
35,Which genres make films that share actors with [The Spirit] fall under the coup,Action|Drama|Horror|Comedy,"MATCH (m:Movie {name: ""The Spirit""})-[:STARRED_ACTORS]->(a:Actor)<-[:STARRED_ACTORS]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
WHERE m <> m2
RETURN DISTINCT g.name"
36,when the films led by the director of the [Bad Santa] release were made,2001|2006,MATCH (m:Movie {name: 'Bad Santa'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:RELEASE_YEAR]->(y:Year) RETURN y.name
37,The films that share the film directors with the film [Free Zone] were in what genres,Drama|War,"MATCH (m:Movie {name: 'Free Zone'})-[:DIRECTED_BY]->(d:Director)<-[:DIRECTED_BY]-(m2:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
