,query,target_query,generated_query
0,what movies can be described with mississippi,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""mississippi"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name CONTAINS ""mississippi""
RETURN m.name"
1,which films can be described by lee tamahori,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""lee tamahori"" RETURN DISTINCT n2.name",MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'lee tamahori'}) RETURN m
2,which movies are about jules bass,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""jules bass"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:WRITTEN_BY]->(:Writer {name: 'Jules Bass'})
RETURN m"
3,what movies can be described by astronauts,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""astronauts"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'astronauts'
RETURN m.name"
4,which films are about katharine hepburn,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""katharine hepburn"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(:Tag {name: ""katharine hepburn""})
RETURN m.name"
5,what movies are about colin firth,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""colin firth"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(:Tag {name: 'colin firth'})
RETURN m.name"
6,what movies can be described with octopus,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""octopus"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'octopus'
RETURN m.name"
7,which movies are about titanic,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""titanic"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'titanic'
RETURN m.name"
8,what films are about bela lugosi,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""bela lugosi"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'bela lugosi'
RETURN m.name AS film"
9,which films can be described by peter chan,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""peter chan"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:DIRECTED_BY]->(:Director {name: ""Peter Chan""})
RETURN m"
10,what movies can be described by shaquille oneal,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""shaquille o'neal"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'shaquille oneal'
RETURN m.name as movie_name"
11,which movies are about giuseppe tornatore,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""giuseppe tornatore"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag {name: ""giuseppe tornatore""})
RETURN m.name"
12,which movies can be described by united nations,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""united nations"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag {name: 'united nations'})
RETURN m.name"
13,what films are about wales,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""wales"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'wales'
RETURN m.name AS film"
14,what movies can be described by realism,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""realism"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag)
WHERE t.name = 'realism'
RETURN m.name AS movie_name"
15,which movies are about renny harlin,"MATCH (n1)<-[:HAS_TAGS]-(n2) WHERE n1.name = ""renny harlin"" RETURN DISTINCT n2.name","MATCH (m:Movie)-[:HAS_TAGS]->(t:Tag {name: 'renny harlin'})
RETURN m"
