,query,target_query
0,Give all the information about Persons,MATCH (e:Person) RETURN e
1,What are the instances of Persons,MATCH (e:Person) RETURN e
2,Get all the information from Persons,MATCH (e:Person) RETURN e
3,Give all the information about Movies,MATCH (e:Movie) RETURN e
4,What are the instances of Movies,MATCH (e:Movie) RETURN e
5,Get all the information from Movies,MATCH (e:Movie) RETURN e
6,Give the attribute name from the entity Person,MATCH (e:Person) RETURN e.name
7,Which is the value of name in Person,MATCH (e:Person) RETURN e.name
8,Give the attribute born from the entity Person,MATCH (e:Person) RETURN e.born
9,Which is the value of born in Person,MATCH (e:Person) RETURN e.born
10,Give the attribute tagline from the entity Movie,MATCH (e:Movie) RETURN e.tagline
11,Which is the value of tagline in Movie,MATCH (e:Movie) RETURN e.tagline
12,Give the attribute title from the entity Movie,MATCH (e:Movie) RETURN e.title
13,Which is the value of title in Movie,MATCH (e:Movie) RETURN e.title
14,Give the attribute released from the entity Movie,MATCH (e:Movie) RETURN e.released
15,Which is the value of released in Movie,MATCH (e:Movie) RETURN e.released
16,Who acted_in the movie called The Matrix,MATCH (p:Person)-[r:acted_in]-(m:Movie {title: 'The Matrix'}) RETURN p.name
17,Which is the name of the person who acted_in the movie called The Matrix,MATCH (p:Person)-[r:acted_in]-(m:Movie {title: 'The Matrix'}) RETURN p.name
18,Return the name of the person who acted_in the movie called The Matrix,MATCH (p:Person)-[r:acted_in]-(m:Movie {title: 'The Matrix'}) RETURN p.name
19,Who directed the movie called The Matrix,MATCH (p:Person)-[r:directed]-(m:Movie {title: 'The Matrix'}) RETURN p.name
20,Which is the name of the person who directed the movie called The Matrix,MATCH (p:Person)-[r:directed]-(m:Movie {title: 'The Matrix'}) RETURN p.name
21,Return the name of the person who directed the movie called The Matrix,MATCH (p:Person)-[r:directed]-(m:Movie {title: 'The Matrix'}) RETURN p.name
22,Who produced the movie called The Matrix,MATCH (p:Person)-[r:produced]-(m:Movie {title: 'The Matrix'}) RETURN p.name
