,query,target_query,generated_query
0,[Brendan Gleeson] appeared in which films,"{'The Raven', 'Harrisons Flowers', 'The Smurfs 2', 'The Grand Seduction', 'Lake Placid', 'Six Shooter', 'Stonehearst Asylum', 'The General', 'Into the Storm', 'Calvary', 'The Tigers Tail'}","{'The Raven', 'The Smurfs 2', 'The Grand Seduction', 'Lake Placid', 'Six Shooter', 'Stonehearst Asylum', 'The General', 'Into the Storm', 'Calvary', ""Harrison's Flowers"", ""The Tiger's Tail""}"
1,The films have made [Christina Ricci] take action in the,"{'That Darn Cat', 'Alls Faire in Love', 'Miranda', 'Prozac Nation', 'After.Life', 'The Man Who Cried', 'Monster', 'Black Snake Moan', 'Sleepy Hollow', 'The Gathering', 'The Last of the High Kings', 'The Opposite of Sex', 'Around the Block', 'Now and Then', 'Pumpkin', 'Pecker', 'Buffalo 66', 'Bel Ami', 'Desert Blue'}","{'That Darn Cat', 'Miranda', ""Buffalo '66"", ""All's Faire in Love"", 'Prozac Nation', 'After.Life', 'The Man Who Cried', 'Monster', 'Black Snake Moan', 'Sleepy Hollow', 'The Gathering', 'The Last of the High Kings', 'The Opposite of Sex', 'Around the Block', 'Now and Then', 'Pumpkin', 'Pecker', 'Bel Ami', 'Desert Blue'}"
2,What makes [Stephen Furst] action in,set(),{'The Dream Team'}
3,What the films have [Chris O'Donnell] an actor in,set(),"{'The Three Musketeers', ""Men Don't Leave"", 'In Love and War', 'School Ties', ""Cookie's Fortune"", 'Kinsey', 'The Chamber', 'Mad Love', 'Scent of a Woman', 'The Bachelor', 'Vertical Limit'}"
4,What films have made [Melvin Van Peebles] star in,{'Sweet Sweetbacks Baadasssss Song'},"{""Sweet Sweetback's Baadasssss Song""}"
5,what causes [Marguerite Churchill] to appear in,"{'Charlie Chan Carries On', 'Draculas Daughter'}","{'Charlie Chan Carries On', ""Dracula's Daughter""}"
6,What makes [Chips Rafferty] action,set(),"{'Wake in Fright', 'The Wackiest Ship in the Army'}"
7,What makes [Stanley Baker] to act,"{'Eva', 'Hell Drivers', 'Helen of Troy', 'Zulu', 'Yesterdays Enemy', 'The Guns of Navarone'}","{'Eva', 'Hell Drivers', 'Helen of Troy', 'Zulu', ""Yesterday's Enemy"", 'The Guns of Navarone'}"
8,What makes [Susan George] action in,set(),"{'Enter the Ninja', 'Fright', 'Mandingo', 'Lola', 'Straw Dogs', 'A Small Town in Texas'}"
9,What makes [Chevy Chase] appear in,"{'Caddyshack', '¡Three Amigos!', 'Modern Problems', 'Memoirs of an Invisible Man', 'Man of the House', 'Fletch Lives', 'Deal of the Century', 'Zoom', 'Funny Farm', 'Foul Play', 'Seems Like Old Times', 'Fletch', 'Under the Rainbow', 'Vegas Vacation', 'Spies Like Us', 'The Groove Tube', 'National Lampoons Vacation'}","{'Caddyshack', '¡Three Amigos!', ""National Lampoon's Vacation"", 'Memoirs of an Invisible Man', 'Fletch Lives', 'Man of the House', 'Seems Like Old Times', 'Funny Farm', 'Zoom', 'Foul Play', 'Modern Problems', 'Deal of the Century', 'Fletch', 'Vegas Vacation', 'Under the Rainbow', 'Spies Like Us', 'The Groove Tube'}"
10,What the movies made [Margrét Vilhjálmsdóttir] star in,{'The Seagulls Laughter'},"{""The Seagull's Laughter""}"
11,What makes [Andy Rodoreda],set(),{'Black Water'}
12,What the films have made [Jackie Earle Haley] star in,"{'A Nightmare on Elm Street', 'Dollman', 'Little Children', 'Losin It', 'Breaking Away', 'The Bad News Bears Go to Japan', 'The Bad News Bears in Breaking Training', 'Watchmen'}","{'A Nightmare on Elm Street', 'Dollman', 'Little Children', 'Breaking Away', 'The Bad News Bears Go to Japan', 'The Bad News Bears in Breaking Training', ""Losin' It"", 'Watchmen'}"
13,[Jack Palance] appears in which films,"{'Arrowhead', 'The Big Knife', 'Ten Seconds to Hell', 'Torture Garden', 'Hawk the Slayer', 'Halls of Montezuma', 'Chatos Land', 'The Desperados', 'Without Warning', 'Attack', 'Bram Stokers Dracula', 'Panic in the Streets', 'Sudden Fear', 'The Swan Princess', 'Gods Gun'}","{'Arrowhead', 'The Big Knife', ""Chato's Land"", 'Torture Garden', 'Ten Seconds to Hell', 'Hawk the Slayer', 'Halls of Montezuma', 'The Desperados', 'Without Warning', 'Attack', ""Bram Stoker's Dracula"", 'Panic in the Streets', 'Sudden Fear', 'The Swan Princess', ""God's Gun""}"
14,Who makes [William Marshall] star in,{'William Crain'},{'Blacula'}
15,[Sharni Vinson] appears in what films,{'Youre Next'},"{""You're Next""}"
16,What films [Jason O'Mara] an actor in,set(),"{'Son of Batman', 'One for the Money'}"
17,What the films have done [George Tiller] to do in,set(),{'After Tiller'}
18,What the films [Kay Kyser] an actor in,{'Youll Find Out'},"{""You'll Find Out""}"
19,[Moe Howard] appears on which movies,"{'Rockin in the Rockies', 'The Three Stooges Meet Hercules', 'The Three Stooges in Orbit'}","{'The Three Stooges Meet Hercules', 'The Three Stooges in Orbit', ""Rockin' in the Rockies""}"
20,What makes [Jason Behr] action,{'Skinwalkers'},"{'Skinwalkers', 'The Tattooist'}"
21,Which movies made [George Harrison] star in,"{'Help!', 'A Hard Days Night'}","{'Help!', ""A Hard Day's Night""}"
22,What makes [Pat O'Brien] appear in,set(),"{'Boy Meets Girl', 'Castle on the Hudson', 'The Fighting 69th', 'San Quentin', 'Here Comes the Navy', 'Crack-Up', 'Bombardier', 'The Front Page', 'Torrid Zone', 'Angels with Dirty Faces', 'Page Miss Glory', 'The Boy with Green Hair', 'A Dangerous Profession'}"
23,The films have made [Mia Sara] take action in the,"{'Turn of Faith', 'Ferris Buellers Day Off', 'Timecop', 'Legend'}","{""Ferris Bueller's Day Off"", 'Legend', 'Timecop', 'Turn of Faith'}"
24,What the movies have done [Erland Josephson] to act in,"{'Ulysses Gaze', 'The Sacrifice', 'Face to Face'}","{""Ulysses' Gaze"", 'The Sacrifice', 'Face to Face'}"
